;dXeYYT;Lucina Melmar;3578 Evergreen Lane;42;-2
03674442U;ofiLe6aNY;Jerrold Singleton;9 Northview Court;41;-0
03675602I;WNVGqlycXu6;Giusto Axton;98 Muir Crossing;41;-6
03696342H;5cmNQGmbs;Louisa Braham;48 Kipling Circle;37;-3
03703583M;xveiYUtcq1p;Babs Birney;4 Del Mar Plaza;38;-1
03704269J;gqtKAVqc2;Burlie Flook;86745 Autumn Leaf Way;38;-2
03711784D;Qz9CkZBBq;Kali Lackney;5603 Burning Wood Way;39;-3
03716610L;UZoUuu5nuooL;Binni Crown;819 Sullivan Plaza;40;-1
03726729P;NPNfGaUY2JmE;Aloysius Kupec;9 Maple Wood Point;37;-2
03732130U;LVUjYI;Marillin Sabban;53 Oriole Junction;41;-1
03736791T;3biVuc;Yancy Davet;3452 Hayes Plaza;42;-2
03740884F;fnytvY;Corey Colls;2 Evergreen Point;38;1
03743365S;POyK1pXxrTzk;Hollyanne Maddox;208 Commercial Junction;42;-2
03744345I;humj6uz58MD0;Tommy Eyton;6876 Hermina Crossing;40;-7
03758653C;nwWK5IwFYiJm;Micheal Sedgemond;73 Tomscot Place;39;-1
03762858V;67PBCleM;Corrie Zipsell;358 Hauk Parkway;38;2
03764168B;JHL9EXya2v;Sigismond Ellingworth;55 Iowa Plaza;39;-4
03774335X;Dor7l6cLh;Timmi McElroy;13957 Bay Lane;39;0
03792873I;MWiqCBk;Roanna Lebourn;7226 New Castle Junction;42;-3
03805621Y;w3CZsbp;Mollie Heers;4 Northwestern Court;38;1
03834597Y;9qg35y9OMu1a;Ermina Farraway;682 Michigan Plaza;41;2
03834995A;NOMrkVtdot9j;Byram Southwick;7 Oriole Street;42;-7
03838319A;4zTyXbNXTVsW;Janetta Botfield;47942 Cascade Street;36;-3
03863609W;f0DjSyxw;Darn Seavers;7 School Circle;38;-7
03872361O;KJmbqoX7N2q;Emory Castard;212 Lerdahl Center;40;-0
03875926P;8r1CYQ;Ulberto Neat;55108 Heffernan Terrace;36;1
03883385A;NEkGsxliZMJb;Llywellyn Ipgrave;64470 Welch Pass;43;-4
03893837D;xmZ9b9uCeZU;Leonerd Doddrell;76 Chive Circle;38;-4
03907083O;l59gZUDg;Zorina Ondrusek;1 Texas Place;36;-0
03923714X;vJ9VxsAfCS;Mariam McKeady;9585 Eagan Hill;37;-2
03924155M;gIy5fUcz;Agata Gallen;4600 Springs Alley;36;-2
03961994K;1EgWHpIPS;Winna Grishakin;164 Carberry Avenue;36;2
03962057L;QOCFBA;Alwin Berrill;63 Ruskin Junction;38;-5
03972353O;bbnQueIjiFA;Nikola Blue;9688 Emmet Circle;37;-0
03973146A;DfzFMJJRKW;Gussy Najera;4 Sunbrook Lane;37;-4
03977627X;5Q1HQzaW7;Dav Tomasoni;86424 Prentice Place;40;-5
03986416L;OMY53mdOqv;Alys Czajkowski;59 Thierer Alley;37;1
03990895Y;Lc2bsBgqZS2f;Jerrie Jepperson;1474 Thompson Street;42;-8
04012695T;cH9MQ5;Dory Kaesmans;3 Sunfield Court;40;0
04052881T;cMbkIBKU2;Keenan Sam;4 Graceland Alley;36;0
04056135I;fO0HMA2UGwe;Hortense Sudddard;437 Luster Crossing;39;-6
04056333M;CELCYOvuyREh;Marwin Flecknoe;30641 Elgar Court;37;-6
04064239I;hzWbnhiau1h;Claudianus Eakin;47 Arrowood Park;36;-7
04067198F;vkAoejSYlia;Malva Prendergast;2 Weeping Birch Junction;36;-3
04068500S;2J5HCjzX7;Marcelline Owenson;723 Sheridan Terrace;42;-5
04074496P;0x4OS754D;Menard Januszkiewicz;3 Autumn Leaf Avenue;42;-7
04074563Z;WNOCT4zZTi;Nicko Michelet;6 Gateway Park;38;-6
04075810X;OMeFjw;Lauraine Garrold;43158 Gale Drive;41;-4
04076022Q;fvtncEqY;Ladonna Staddon;603 Manitowish Point;36;-1
04084899Z;On6zIRSD0;Britni Skitteral;15 Redwing Center;36;1
04090300I;0uhvS6vbTS;Fowler Freake;5 Vahlen Junction;37;-3
04091269L;Jhp7clYkQll;Karilynn Blythe;41436 Kinsman Lane;41;-9
04094020Z;VVxIdLXn2I;Belle Fullager;779 Carberry Alley;42;-7
04106845X;PxTvYzHNFGq;Liane Liles;0308 Memorial Terrace;39;-4
04108482Z;poamULrm9vk;Hetti Bailie;55498 Jenna Plaza;41;2
04137316K;qLOwJFktoN;Zared Czajka;2 Laurel Street;39;-0
04140819B;rN0VUJg;Evonne Simecek;4315 Hooker Junction;37;1
04170032C;yh4FccJ;Moria Braams;962 Loeprich Trail;42;-5
04174473L;9lhj7QBld85f;Nicolas Denyagin;487 Maryland Point;42;-4
04189710C;fgPR5TSDVA;Celene Keel;6 Lukken Court;42;-3
04193685H;BDtsuJwLHX7;Appolonia Trousdell;954 Gina Place;35;-7
04194663X;JLgoZMpJNpuz;Sanson Bentley;255 Monument Plaza;42;-8
04202575P;BUtEKuLdpi;Bryant Willarton;511 Cody Plaza;38;2
04212496L;dGxCeopFux;Ulrike Adamec;35638 Bobwhite Parkway;43;-9
04213469O;bQu8uNQdV0yH;Marcellus Blacktin;853 Golden Leaf Place;37;-1
04214135I;PWCJt7fDFo;Yuri Picopp;9 Coolidge Alley;38;-4
04214149U;VaTjKhs;Aurel Poveleye;1584 Coolidge Way;37;-4
04232592G;eGVFpRMjsTQ;Cordelie Grastye;0 Mockingbird Circle;36;1
04234334Z;xtV7K4GsiI;Jess Ipsgrave;753 Golf Avenue;35;-8
04269283X;ov8n87OwTg;Andonis Hayller;50608 Independence Court;36;-6
04277739K;MnC05fZwNn;Addy Troughton;89 Stoughton Parkway;41;1
04279210E;UqdgWe;Clotilda Clemenza;1805 Starling Plaza;41;-0
04291753W;LaqBOXwK7lh;Fan O'Geaney;88 Valley Edge Crossing;41;-1
04294724U;viPlS8xeNYl;Vinnie Focke;2555 Leroy Junction;39;-4
04301345H;tM3KmH3OC9;Modestia Saylor;857 Fair Oaks Junction;40;-2
04301912O;E3th3jiYJX;Berkley Conechie;86 Redwing Avenue;42;-1
04304420J;zlNhwJZbEG;Ari Moulson;845 Union Drive;41;-3
04315283G;FK2djD9s;Alec Rolfini;8 Dorton Junction;39;-0
04317866F;a5SwW1ZB;Sherlock Mirfin;1323 Burrows Lane;42;-1
04318223Y;nRVrHNLJRZ;Karalee Cauthra;5670 Lukken Circle;41;1
04321836H;vvbXtmLytmDv;Sophie Bromfield;07 Stoughton Avenue;41;-4
04326681R;HJujmV;Emmie Augustine;77978 Laurel Drive;41;0
04328579S;lZQkUpG;Yurik St. Quintin;18 Schiller Point;36;1
04341775A;uHr9KMuD;Howey Gettone;9 Mifflin Lane;41;-1
04350906J;rSk18p;Douglass Tebbit;37 Wayridge Point;37;-0
04363376Z;fvWIpn;Sallee Managh;986 Longview Pass;40;-4
04374898S;6ZVoBuER;Sileas Epdell;81 Lillian Terrace;38;-2
04377232C;Q8Vrncnf;Yancy Londsdale;4 Bunker Hill Lane;40;-6
04377797O;2EdgCocXVEEy;Johannes Torresi;384 Marquette Place;38;-2
04388507F;aYhatL;Grata Tetla;3 Helena Alley;41;-6
04398401R;5TBuGpOzl;Mathian Moxstead;655 Hagan Lane;38;-4
04410893N;771F4sUuB;Sherrie Celloni;3513 Sloan Pass;40;-4
04412878U;CJQA86erTctr;Waldo Sefton;9787 Lakewood Drive;39;-8
04425112X;LM3LKT4z5ft7;Lane Fitzsimon;4609 Kedzie Place;40;2
04425178T;7HwTxTQ;Cornie Undrell;75039 Blue Bill Park Junction;39;1
04425572W;AIbxfbfC;Marv Kornyshev;48 Monterey Junction;36;-7
04448625Y;Cxas4AN9PV4;Nadeen Ogelbe;68420 Hallows Point;36;-7
04449796C;0MuMtI38j;Robinette Kernaghan;42778 Grayhawk Avenue;40;-7
04463446E;lrC3oV;Brod Flintuff;839 Almo Lane;40;-0
04473828G;01jmUy;Glynnis Nevet;6 Pond Point;40;1
04513483F;l3i5fXO;Marcos Canero;01 Moland Way;40;-7
04517482E;Q4f1KgEs;Yolane Andreuzzi;46 Manley Lane;38;-0
04518462D;4spymR;Leone Staner;2 Clyde Gallagher Road;43;-4
04538804V;LlPnnhnv6;Trudey Goodyer;52953 Ilene Junction;42;-0
04552443V;oPGPfP8yo;Ashley Dudderidge;19 Heath Place;42;0
04572966T;7dm8Xo6bowLG;Shepperd Giorgeschi;4 Graedel Crossing;39;-5
04582033X;uVf5R0uTONPR;Caleb Stopps;3282 Kensington Avenue;37;-8
04595076V;AHLb9MhC;Brittni Sworder;5 Muir Circle;41;-0
04601554M;WCESxcWY;Waylin Breinlein;41 Roth Plaza;37;0
04623981U;i7IZdpTWr;Meg Wickling;4 Village Drive;41;2
04626372D;BY33Hc1P;Charo McKinie;33 Debra Crossing;41;-6
04629872Q;Vw71vi;Noah Bartol;11956 Maple Wood Plaza;40;-6
04642497N;raxQ9td;Odessa Redwall;6561 Meadow Vale Junction;37;-3
04651145G;bijp4hGw;Ransell Tilbury;2 Fairfield Road;39;-3
04651876F;NkpwXuqNEt;Gerhardt O'Brollachain;38542 Main Alley;37;-4
04682737W;PXyMgVbcK6V1;Flynn Quirk;1689 Iowa Avenue;41;-6
04697417G;X4yA3WoKxPp9;Chet Wink;5773 Grasskamp Street;39;-5
04702019D;lSohPH4;Colas Petit;6078 Spohn Terrace;40;2
04712000Z;abmGLzTZd;Persis Gorelli;7346 Waxwing Plaza;42;-2
04759292J;ZPDWzk5eBTe;Shawnee Brockett;05728 Southridge Place;40;-2
04778197D;DX1yvoAQMf;Cher Hubane;183 Summer Ridge Court;37;-6
04783614Q;VLaJReJ4N;Collette Winning;675 Muir Hill;37;-4
04786725V;SD6Y3v;Larry Epps;6 Shopko Center;40;-6
04798987M;Mu80jGn8m;Sherwynd Lawrenson;97425 Talmadge Court;42;-7
04801082E;UflZZhHDZWDC;Herman Glasscock;226 Lakewood Gardens Alley;38;0
04803739O;T1o1Yxn;Hanni Sex;01 Acker Drive;38;-6
04804922R;cfFizlpz;Frederick Height;4 Golf Court;37;-7
04807089P;WgnljBfl;Hyacinth Bordessa;06907 Corscot Plaza;38;1
04810280B;bxPccN;Kelsey Coale;1 Fairview Alley;36;0
04816631Q;ItOjRice;Shayne Bettlestone;0102 Meadow Vale Crossing;39;-7
04824140J;NsA5Ac8D;Wernher Danks;6912 Hoepker Crossing;37;2
04829413E;RhqR9e5Y5;Zane Blant;64 Merry Junction;42;-7
04835421J;vcY6YlL7;Elenore Hodgin;90578 Upham Lane;39;-8
04837041E;M5KbRXoPMax;Kaleb Zuenelli;125 Mayfield Parkway;38;-2
04840750Z;1oj8BaNf1;Jodi Steet;32761 Service Alley;41;-4
04851773F;j7mJ8Q4jzVJ;Melloney Prester;08836 Ronald Regan Court;42;-5
04853944U;nObS0UMe6;Solomon Bate;5944 Burrows Road;40;-3
04862986E;5ybFmZO7g;Selie Kibblewhite;09571 Steensland Hill;37;-0
04902882Y;f6Ys3k2r7tGv;Rurik Groome;13 Hovde Road;41;-6
04916553C;yqeqvi3rDhP;Issie Scothorn;43338 Derek Trail;37;-1
04927181L;yvUnZ4tmWse;Imogene Elkington;37 Talisman Circle;39;-1
04931423V;IFFu4YbJiQnC;Averil Monahan;122 Delladonna Avenue;40;-4
04947114B;Llp6Uebfx;Skippie Pelman;3 Tomscot Alley;38;0
04947530J;HZZmuKYc;Mendie Lytlle;2 Meadow Valley Street;37;-0
04969571M;nzlBLcUiV;Justus Waterstone;7059 Prentice Hill;38;-1
04995172B;x0Dg7QPbfsn;Juliana Harse;61520 Moose Junction;40;-4
05003661P;9fIA6P;Geoff Melior;73965 Bayside Crossing;37;-7
05003714W;nSYznV2z;Myrna Willatt;6 5th Terrace;36;-7
05013263E;7pF3Tiuz;Pavla Perocci;119 Autumn Leaf Parkway;39;-7
05015682S;RELejE;Calla Saph;7402 Hooker Parkway;41;-9
05015881M;62M1731I;Corrie Sharpe;1098 Meadow Vale Court;38;1
05020987T;Lo4whccWE;Bibbie Marland;713 International Court;40;-3
05031442C;wik823JLn;Onofredo Greystock;09393 Trailsway Road;37;-8
05040449R;wfKopYJYg4Dg;Marietta Yoakley;893 Sage Parkway;39;-8
05040667T;CIpbZqW;Norean MacCole;82 Nelson Drive;39;0
05054442R;B4pZaiD;Solomon Flavelle;89 Northport Pass;41;-6
05054895O;GwKpa09Ae4Tl;Webster Kiely;1646 Charing Cross Pass;41;1
05074429W;jVK5ii6fB;Korrie Verheyden;6 Mallard Terrace;42;1
05092498N;0b2rqw3h;Amos Kirtley;48 Kings Street;35;0
05105866C;OUGOwN5;Cindy Attac;1 Butterfield Crossing;40;-8
05124234T;uwKUaeR6G;Oralia Lohering;8 Cascade Terrace;36;-2
05129412Q;tEcy0i83;Virgie Holdren;24641 Kings Parkway;42;-7
05129712X;BeIR0RwK;Sammie Heiss;1 Onsgard Avenue;39;-6
05133841C;zAtRSqxUe14;Daphene Colum;57 Monterey Alley;39;-3
05151243C;RKYd14n;Meggy MacGillavery;774 Green Ridge Street;43;-9
05169636K;d9JIdqDSBZCA;Gipsy Flancinbaum;37631 Northport Point;36;-3
05179620J;HkpR3a;Bowie Arnau;973 Kensington Plaza;40;-0
05183376V;QsTLbt6MjZ;Angeline Chaplyn;56 Anzinger Parkway;37;-4
05205892T;Hm0sQ14rsI;Rena Pritty;522 Armistice Circle;42;0
05212323G;WEJCjCvam6Si;Marianna Scraney;2730 Grayhawk Hill;38;-8
05216973Z;JxgJvbBly27v;Kacey Callum;542 Anderson Drive;42;-1
05220121P;bBpfaQDXOEm;Gilberte Rubinsztein;46771 Melrose Park;41;-4
05268659V;SDOQAlH;Rachael Chavez;956 Lawn Pass;40;-3
05283661E;Kb6P3pzb;Petrina Hatherley;1 Hayes Circle;40;-1
05288156C;c7oT8AXNv0FY;Kimberley Rawsthorn;19 Karstens Parkway;36;2
05304980O;1O0x97cMkbW;Thedrick Woodcroft;924 Marquette Avenue;37;-5
05305708P;AtDw4h;Buddy Hilling;83 Browning Junction;36;-7
05327795T;rhQEiSCowU;Wylma Gauge;66326 Swallow Circle;42;0
05329491Z;h2LW99T;Korey O'Deegan;5 Park Meadow Trail;38;-6
05349838V;IDdNVF;Jeanelle Caustic;13 Crescent Oaks Parkway;39;2
05392535L;w5xVebRjX5;Erich Berrill;1 Little Fleur Crossing;37;0
05400796L;Tu3gvm3;Harmony Frankom;657 Truax Road;36;-8
05401173M;h77YJLvhZMai;Deborah Chill;4497 Commercial Point;41;-0
05414585U;SlDXvi;Chance Aingell;58 Forest Center;36;-5
05427528H;eugv94BwcDa;Urson Sitlington;42 Rutledge Parkway;41;-6
05441614F;DZV0HrjXFJ9;Madlin McKennan;97737 Steensland Park;42;-7
05446316J;sc1JUvss4Mr;Robbi Lippitt;890 Grim Lane;39;-0
05453638G;gsEjo2rKY;Tilda Kuhn;3 Steensland Parkway;39;-8
05474323G;fZ5q7R1OlM;Zaria Blincko;550 Quincy Way;37;-2
05475623F;OlauKIb7M;Patrick Wayvill;71172 Stone Corner Park;41;-2
05479756H;JrKiyu;Geordie Bardnam;836 Moose Hill;41;-6
05481819L;77QDfH8I;Gaven Brotherheed;5497 Moland Junction;38;1
05501523W;0n8ZeU0z3pXt;Pet Rzehorz;7 Petterle Trail;41;-2
05504859O;KLeeTQctue8;Osbourn Tallent;53 Butterfield Pass;37;2
05505512Q;uP6vP1UsQ;Elianora Faustian;8002 Oxford Lane;37;-5
05512178B;IJZK7i;Eilis Copland;5 Anthes Pass;41;2
05546111R;TStN9x1jY;Teador Georgius;37697 Norway Maple Place;39;-2
05546416P;xLemAbl;Celia Stronge;67 Twin Pines Avenue;43;2
05548200H;01wd82KyT;Portie Abate;3074 Pierstorff Crossing;41;-5
05548652L;EBlt4EnwHmc;Sherwin Conti;530 Starling Way;38;2
05566173C;DzI4R9QH1J;Licha Larchier;508 Waubesa Junction;36;-5
05569335W;RzYKDnt;Imogene Humbert;093 Division Plaza;40;-0
05570889N;OiWYOi;Lucias Kenshole;753 Cascade Street;42;-4
05574325C;5Ag84iuTvglR;Gusella Valde;5812 Granby Court;37;-5
05585299D;FEqkoAzkj5;Hilde Blaker;13 Messerschmidt Avenue;41;0
05593825L;4qcatT;Towney Garrow;9717 Rigney Court;38;-1
05612467B;p32jW70e;Darby Battershall;4 Norway Maple Trail;37;3
05624326V;SoLjm1h;Jocelyne Rummins;74 Barnett Street;41;-6
05639828B;UgPA3VbB13h;Cari Fernandez;4 Menomonie Road;38;-9
05663958L;LktQD10;Melisandra Girdlestone;05549 Eastlawn Lane;42;0
05699878Z;N393qmxpEEw;Wally Phebey;0946 Vermont Alley;37;-4
05713026X;z7MuxCeQ;Lucais O'Mohun;9 Bluestem Crossing;39;-7
05715703E;iLopd70xTFw;Nadean Gosenell;46 Corry Crossing;42;2
05726779H;VQjsHc;Carlene Manuelli;892 Hayes Junction;41;2
05738202W;uWEUmbst;Cassaundra Kitchingham;207 Vernon Park;36;-2
05743297I;X5atFQyL0H;Galen Duchatel;148 Mockingbird Court;35;-5
05748625C;2frVS0or;Natalee Elman;2796 American Court;41;-5
05761349Z;8gPdeYS;Nikola Piele;24 Doe Crossing Way;41;0
05765239R;LVZM9r5;Lodovico Gyer;800 Old Gate Avenue;42;-0
05766136N;W9R9JrWSiH3;Walliw Sigsworth;839 Stang Point;41;-7
05768549F;V8EQn6pE;Kathleen Fist;43 Almo Park;37;0
05776052X;IojY69;Branden Rivlin;63847 Briar Crest Drive;36;-3
05779312I;GCWrCB1s;Germain Wellbank;732 Thierer Crossing;39;-8
05811666K;GtiQsqL;Ezra Tebbe;6 Ludington Avenue;40;-5
05816176N;dYjRFMsiqi;Alix Beardwood;3 Anhalt Place;42;-7
05825507Z;jllaQhvci;Zilvia Paramor;80 Lakeland Alley;40;1
05828471A;TFPVWer;Claudianus Tunniclisse;80 Oriole Plaza;38;-8
05829783H;uASRyId;Darcy Neaves;81 Pawling Parkway;40;0
05841679X;4kBryiyzC1M;Nikola Kibel;14202 Memorial Parkway;41;-7
05845867S;RwlIW37e6;Mada Morphet;7298 Loftsgordon Crossing;40;-5
05849062S;XLcEzLo;Ephrem Stanmore;5758 Hanover Crossing;37;-7
05849420X;1IbrdZTGvDfm;Aharon Questier;365 Namekagon Junction;35;-1
05853630W;fNPTQSggrt;Kippie Laycock;24 Kensington Street;40;-4
05855527V;vsDuSkIcXr;Nicolis Simenon;4073 Moulton Street;42;-9
05861437J;rOYSrTMmDM;Abner Fencott;0630 Dakota Avenue;41;-5
05870598L;2aorVsZybez;Bevon McAreavey;56670 Hooker Avenue;36;-6
05874608L;l7JpO6q;Ulrike Fear;4 Express Parkway;39;-4
05876215C;jubrQi4;Elset Hender;0 Riverside Court;38;-3
05879138H;70mq4lvtd;Janeczka Marcroft;18 Hoard Junction;37;-7
05895431X;pQ3slFSkkU;Robinia Zanicchelli;48 Scofield Plaza;36;-4
05919234Z;P5YlTIN5sW;Midge Edgett;6278 Vidon Parkway;43;0
05920540A;ZStAPfI0rJ;Tully Dallon;51 Clyde Gallagher Way;41;-8
05921276I;u3ray5B;Rees Anderl;3420 Knutson Point;40;-4
05921708P;KSxZJIcmB;Rianon Glusby;4934 Sugar Court;39;-3
05928171F;A862ohB7;Lira Justis;86 Holy Cross Center;40;-3
05933573F;6eaMbv;Odilia Convery;8612 Mayfield Crossing;41;-1
05981563D;HmHBvI68;Jodi Showell;26 Messerschmidt Crossing;40;2
05985240T;2nLu4GNT;Madel McCaffrey;71 Coolidge Avenue;39;3
05987013S;yr6ijRDB;Delora Kliemke;5 Jay Center;36;-6
06003875C;sEXzGwW;Faydra Qusklay;965 Westend Avenue;40;2
06020116D;9UR3jACxI;Petrina Housbey;08 Linden Terrace;42;0
06028289H;y29pM16n3q;Fancy Lidgertwood;74456 Killdeer Drive;36;-1
06034399Q;W3Vxsmr;Grange Harnor;99 Brentwood Center;41;0
06046172G;nNc9Fl0g;Briano Treske;088 Shelley Center;35;-8
06063973L;5pyDAa;Bastien Volet;0516 Lerdahl Road;36;-6
06075386O;sOMUjMgje;Trent Bradshaw;30 Spaight Way;41;-6
06086447I;H83thoo8TS;Petr Tordoff;0709 Pennsylvania Place;36;-4
06086876P;o8emoNZ6X;Donny Clurow;1 Twin Pines Terrace;41;0
06115334S;9MS83JIYwdMO;Tony England;6 Waxwing Circle;42;2
06117516P;aWOQkYOxp;Mickey Cowdroy;5 Mayer Place;40;-9
06127315V;S746FC6pcwd;Mamie Carriage;74935 Granby Terrace;36;-2
06128418T;leT7yvB9;Montgomery Uzzell;03 Randy Avenue;39;-7
06129651X;nYUkcDn5;Lars Dunphy;87047 Westend Terrace;39;-7
06138745W;irMQBFpFOpX;Helenka Farans;5290 Spenser Plaza;36;2
06148017O;YXl2e02l;Concordia Fevier;85 Butternut Drive;36;-6
06161137E;nCq6T6iXC;Glenden Seward;32 Ludington Terrace;41;-6
06168532W;FrkJIdh8;Nessy Dymocke;6 Melby Place;40;-1
06172266A;9AEw4pfv;Jeannine Frowde;5 Bartelt Avenue;42;-5
06193978Q;GbYsmQX609G6;Abelard Vispo;289 Village Green Avenue;36;-8
06224746D;1zqsTddrf;Fan Ivy;253 Merry Junction;39;2
06235200S;rdUWhx3BHQ;Orin Gossart;14704 Dixon Avenue;38;-4
06235314J;ZB5NOSfVitmV;Delaney Torel;7604 Artisan Street;41;-2
06248838Q;Qe5aYsf38;Ferdinande Wear;305 Fieldstone Alley;40;-7
06255661Q;QNiuhSMtTu;Astrix Oatley;1505 Red Cloud Hill;40;-4
06273555C;OKf1aW1wjv7;Reinhold Durman;74 Spaight Crossing;39;-2
06290865T;YrvCsTDLv;Shela Oxbrow;78 Stephen Terrace;42;-0
06303728B;pxYhGkK54;Sissie Peregrine;676 Lakewood Parkway;40;-6
06337654C;2aLkD92;Faustine Blaise;16414 Columbus Center;40;1
06341731G;lawQFW;Theressa Kerr;46022 Northport Pass;40;-7
06343449X;9DysaNNvY;Seward Sainter;841 Almo Place;38;-4
06360728H;ETbtXIg;Collete Titmus;8 Corscot Pass;40;-2
06373980G;PuVhJL;Cchaddie Bardwall;1535 Susan Lane;39;0
06388984W;c1I4oUSNz;Jojo Skace;7 Miller Pass;35;-5
06389211S;H1vwFb;Noami Penylton;73 Lunder Court;39;-0
06418758X;dsZesMB;Robb Threadgill;2 Weeping Birch Alley;36;-0
06441527X;hBojpGxxk;Neille Lafayette;193 Shelley Junction;37;-1
06442168M;BF4k0aYmZ;Sherlocke Trank;3461 Rutledge Pass;38;2
06451094J;TDLBmx7s;Kathryn Bedin;51344 Clemons Terrace;40;0
06456497W;YJ0BIG7;Izzy Arnold;992 Evergreen Plaza;38;-6
06462056C;ySn1Lc;Lanette Toten;88416 Welch Road;36;-1
06470819K;A38MAB00qz;Wilone Younghusband;8 Pine View Circle;37;-4
06482392U;QvfoTJ;Perla Werner;23 Hintze Way;42;-8
06492764W;NscyoFMZ;Moselle Pavlov;3 Toban Pass;41;2
06504860W;hIm8JGNcc;Marquita Avrahm;519 Helena Place;38;-5
06507146A;vG3D451ua8;Beverly Lintin;720 Manitowish Trail;43;-4
06510306P;5WgChR2N0L;Clarisse Wilmore;38 Alpine Court;41;2
06511358A;GPkaY0k;Mahmud Eilhart;5 Division Center;41;0
06511548Q;32syptuF;Silvanus McGorley;212 Chinook Crossing;36;-0
06547950U;zopdzThgeR8Y;Letta Coggill;6 Texas Court;37;-9
06548274G;mMb1qsRrk;Jackie Nassy;6642 Carioca Center;36;-0
06571571E;bEbOvpJP;Aloysia Parkeson;0 Vahlen Pass;38;1
06578310U;7nSc90oEsqo;Jacqui Pumphrey;07 Myrtle Place;36;-1
06581943B;Js3Eu0QTp;Bobette Blasik;476 Clarendon Pass;39;-8
06585904B;tyFJYL;Janaye Olenichev;8 North Street;41;-1
06589005O;yvq4VVyJdcCe;Joice Joslyn;9 Dayton Center;43;2
06593249B;k1BYM7j9;Solomon Scholes;0191 Mccormick Plaza;41;-2
06599829I;TkhTq5Ho;Vail Ondra;1 Burrows Parkway;36;2
06602903V;3DZ888;Oralla Earengey;488 Grasskamp Plaza;40;-7
06625602K;PpQ9g26tlER;Edvard Djorevic;196 Atwood Terrace;35;-3
06628499E;eBQjSfI;Gamaliel Curry;67545 Arkansas Street;42;-9
06634307B;GQ83NmIf5;Gilburt Semple;3131 Manufacturers Park;37;1
06651355Y;3H1HopEfp;Erin Gaskin;5701 Monument Junction;36;-0
06658036G;sUwnO9zcpQVi;Fifine Bedding;404 Brown Park;37;-7
06662078O;xJvRBh;Celestia Malam;829 Meadow Vale Drive;38;-4
06663234D;UhC65fkyM3;Bordy Cervantes;9471 Porter Point;38;-4
06664805I;2Tp8eTWiy;Logan Menier;54312 Homewood Circle;36;1
06669504T;SOkUg5tG;Moses Jubb;84 Twin Pines Drive;36;-0
06677775S;4Kk489B5MH;Melisande Guyver;47 American Ash Lane;42;-5
06678203Q;jmRfVii8KtqO;Aleksandr Vaux;8 Lyons Crossing;43;-2
06678390V;4ICDnEXQh;Con Flynn;23 Lunder Plaza;38;-0
06681817D;4WL0uj;Giffer Rex;5 Northland Place;38;-2
06701014T;57pZeM7b;Herb Shemilt;896 Sachtjen Point;36;-3
06711606R;q1xmKj2Mp9;Banky Stoll;78 Nova Center;40;-8
06735252Q;62Rve1LMy;Sarette Godsafe;96 Monument Street;39;1
06740801G;aB4sUnjU7TF;Gloriana Fashion;254 Blaine Avenue;38;-3
06740868W;mQHfveZ;Isidor Iacovozzo;8 Kings Plaza;36;-1
06752280E;kosOGl;Ambrosi Besse;1869 Prairieview Place;39;-8
06755796M;XvMdgLJMf;Nial Betteney;339 Meadow Valley Crossing;39;-0
06764499Q;9XJ7B4saVZ;Joceline Patton;88534 Delladonna Court;39;-6
06786596D;alq5KuSC7;Janene Espina;17890 Vera Point;41;-9
06795500G;4XpC4mx64tSw;Hillary Ivanaev;993 Dawn Crossing;42;-8
06839290G;a9Fla6PeL7;Desiree Assante;3097 Northridge Circle;37;-7
06871607E;zYFrNL9Z;Myrwyn Strewther;3070 Norway Maple Crossing;36;-2
06873389J;4PUAp5YMMJJ;Steve Glazyer;73317 Gulseth Lane;41;-4
06873538B;KBwy1oY;Care Kilbride;373 Ridge Oak Junction;39;-0
06874382K;qT8wVFY;Linnet Valek;1162 Eggendart Junction;40;-0
06887650X;Sghweq1;Carley Duthie;51546 Bultman Alley;36;2
06892519P;LjVRx9rbp9;Heda Chanders;2109 Hovde Plaza;39;-1
06903592K;lAuu9i;Brianna Keuneke;84 Golf Course Junction;36;-3
06904529O;KiGATL;Gwenni Adamczyk;3856 Mandrake Place;37;-3
06949048G;LfonTbEohWhG;Rem Kitter;82622 Gale Junction;40;2
06950961Y;3MV6DerLflwe;Emmy Ormerod;0 Little Fleur Trail;42;-2
06960354O;tgNgfO84qiP;Georgena Suart;9 Blackbird Avenue;42;1
06961577S;lIJzBeObeF;Woodrow Doswell;264 Milwaukee Way;37;-7
06962066O;iMs2gP5ndq1;Chaddie Horsell;188 Golden Leaf Trail;42;-6
06963437F;j4vALe;Mavra Mansuer;530 Columbus Crossing;41;-2
06963976G;5sAzG5p0WXTG;Alford Lasham;1 Anzinger Pass;38;1
06969393O;42uCVDzHMM;Jada Jacombs;4 Northfield Plaza;37;0
06983497D;oMLLFCun;Sisely Bourdis;1 Marquette Plaza;40;-6
06984709R;AZqixxc;Lucien Naris;470 Knutson Point;43;3
06996681O;7Z2wx0DhN6W;Tamiko Patkin;27125 Carey Court;39;-5
07009307V;Fk7BKFBclxGh;Fergus Lloyd;49 Surrey Junction;41;-6
07009794R;MKhyoMtmCU;Ginger Razzell;637 Judy Plaza;41;-1
07011903O;9Gcyi0J;Ethelred Crang;64655 Steensland Lane;41;-1
07013055U;8jesfaAzs;Alysa Gathercoal;3078 Northfield Point;36;-5
